"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
1.012912538E0	-9.212367237E-2	9.681360245E0	-4.480560422E-1
1.021315558E0	6.580262445E-3	9.660423279E0	-4.217349887E-1
1.029718579E0	4.965107143E-2	9.704689980E0	-4.205385745E-1
1.038121600E0	-0.000000000E0	9.753145218E0	-4.450650215E-1
1.046524621E0	-6.281159073E-2	9.741181374E0	-5.132604837E-1
1.054927642E0	-1.292124242E-1	9.700503349E0	-6.257231236E-1
1.063330663E0	-1.914258152E-1	9.771689415E0	-6.795616150E-1
1.071733683E0	-2.159522474E-1	9.876974106E0	-6.658028960E-1
1.080136704E0	-1.633101404E-1	9.879366875E0	-5.234299302E-1
1.088539725E0	-7.836493850E-2	9.766903877E0	-2.452643216E-1
1.096942746E0	3.948157281E-2	9.701699257E0	-2.033899277E-1
1.105345767E0	1.830509305E-1	9.866206169E0	-4.223332107E-1
1.113748788E0	4.157529473E-1	9.925428391E0	-5.383851007E-3
1.122151808E0	3.918247223E-1	9.720842361E0	4.695914388E-1
1.130554829E0	2.931207791E-2	9.662816048E0	1.770688742E-1
1.138957850E0	-1.064806059E-1	9.900303841E0	-5.120640397E-1
1.147360871E0	1.609173268E-1	1.003250694E1	-5.210371017E-1
1.155763892E0	5.048855543E-1	9.884152412E0	-3.320041299E-1
1.164166913E0	6.723831892E-1	9.789037704E0	-3.780659735E-1
1.172569933E0	7.639086246E-1	9.888937950E0	-3.272185028E-1
1.180972954E0	7.136593461E-1	9.923035622E0	-1.794617027E-1
1.189375975E0	5.563312769E-1	9.795019150E0	-1.148554832E-1
1.197778996E0	2.883351147E-1	9.748957634E0	-5.982056609E-4
1.206182017E0	-7.597211748E-2	9.777072906E0	-6.999006122E-2
1.214585038E0	-1.686939895E-1	9.801001549E0	-1.734796464E-1
1.222988058E0	-5.144568533E-2	9.801599503E0	8.434699476E-2
1.231391079E0	8.554340899E-2	9.817750931E0	4.468596280E-1
1.239794100E0	1.064806059E-1	9.796216011E0	7.794619799E-1
1.248197121E0	-2.476571500E-1	9.711869240E0	8.303094506E-1
1.256600142E0	-4.911268353E-1	9.811170578E0	5.515456200E-1
1.265003163E0	-3.361915946E-1	1.003250694E1	4.534398913E-1
1.273406183E0	-4.247260094E-2	1.002114105E1	7.112665176E-1
1.281809204E0	1.016949639E-1	9.885947227E0	8.428717852E-1
1.290212225E0	6.460621208E-2	9.909276962E0	8.991031051E-1
1.298615246E0	1.333998591E-1	9.935597420E0	7.489534616E-1
1.307018267E0	4.223332107E-1	9.884152412E0	8.482556343E-1
1.315421288E0	8.207381964E-1	9.771091461E0	9.577272534E-1
1.323824308E0	1.090528965E0	9.791430473E0	1.027717352E0
1.332227329E0	1.165902853E0	9.889535904E0	9.176474810E-1
1.340630350E0	9.577272534E-1	9.946365356E0	5.706881881E-1
1.349033371E0	5.641079545E-1	9.972686768E0	5.000999570E-1
1.357436392E0	2.416750938E-1	9.937392235E0	5.377869010E-1
1.365839413E0	4.157529473E-1	1.000498962E1	5.635097623E-1
1.374242433E0	8.057830334E-1	9.954740524E0	8.524430394E-1
1.382645454E0	9.864411354E-1	9.808179855E0	1.269990563E0
1.391048475E0	8.560323119E-1	9.709476471E0	1.271187067E0
1.399451496E0	5.090730190E-1	9.683155060E0	1.050449133E0
1.407854517E0	1.908276081E-1	9.697511673E0	8.344969153E-1
1.416257538E0	-4.486542568E-2	9.676574707E0	8.380861282E-1
1.424660558E0	-1.615155339E-1	9.701101303E0	6.484549642E-1
1.433063579E0	-5.383851007E-3	9.810572624E0	5.527420044E-1
1.441466600E0	1.076770201E-1	9.803394318E0	7.908278704E-1
1.449869621E0	1.399801224E-1	9.643673897E0	9.296116233E-1
1.458272642E0	8.315058798E-2	9.529416084E0	7.932206988E-1
1.466675663E0	-3.349951655E-2	9.538389206E0	6.520441771E-1
1.475078683E0	-1.046859920E-1	9.642477036E0	6.490531564E-1
1.483481704E0	-1.585244983E-1	9.648459435E0	6.927221417E-1
1.491884725E0	-2.554338276E-1	9.558130264E0	6.059823632E-1
1.500287746E0	-1.172483116E-1	9.521040916E0	4.989035130E-1
1.508690767E0	2.536391914E-1	9.640682220E0	6.143572330E-1
1.517093788E0	4.384847581E-1	9.714859962E0	7.872386575E-1
1.525496808E0	3.032902777E-1	9.644271851E0	8.039883971E-1
1.533899829E0	1.046859920E-1	9.640682220E0	6.209374666E-1
1.542302850E0	5.324030295E-2	9.772886276E0	5.365904570E-1
1.550705871E0	1.489532143E-1	9.803394318E0	7.399803996E-1
1.559108892E0	1.872383654E-1	9.698708534E0	8.542376757E-1
1.567511913E0	2.243271172E-1	9.655637741E0	9.290133715E-1
1.575914933E0	3.684946895E-1	9.723235130E0	8.907282352E-1
1.584317954E0	4.552344978E-1	9.729216576E0	8.973084688E-1
1.592720975E0	3.894318938E-1	9.620343208E0	7.483552694E-1
1.601123996E0	3.732803464E-1	9.624530792E0	6.311069727E-1
1.609527017E0	5.874379873E-1	9.864411354E0	7.070791125E-1
1.617930038E0	7.698906660E-1	9.987043381E0	8.937192559E-1
1.626333058E0	6.843472719E-1	9.920642853E0	1.071984529E0
1.634736079E0	4.480560422E-1	9.867402077E0	1.188634634E0
1.643139100E0	3.445664644E-1	9.888339996E0	1.048654556E0
1.651542121E0	4.624129832E-1	9.830313683E0	9.080761671E-1
1.659945142E0	6.747759581E-1	9.684351921E0	8.679963946E-1
1.668348163E0	7.567301393E-1	9.739386559E0	8.715856671E-1
1.676751183E0	6.867401004E-1	9.946963310E0	7.663014531E-1
1.685154204E0	5.665007830E-1	1.000798035E1	5.874379873E-1
1.693557225E0	5.156532526E-1	9.909874916E0	4.666004181E-1
1.701960246E0	6.203392744E-1	9.832706451E0	4.336991012E-1
1.710363267E0	7.088736892E-1	9.750154495E0	3.421736360E-1
1.718766288E0	6.293123364E-1	9.687342644E0	2.991028428E-1
1.727169308E0	5.048855543E-1	9.480362892E0	2.267199457E-1
1.735572329E0	5.946164131E-1	9.259625435E0	4.384847581E-1
1.743975350E0	7.866404653E-1	9.369695663E0	3.966103494E-1
1.752378371E0	1.054038405E0	9.760323524E0	3.176472187E-1
1.760781392E0	9.846464992E-1	9.791430473E0	2.135594189E-1
1.769184413E0	7.525427341E-1	9.592825890E0	3.948157281E-2
1.777587433E0	8.745766878E-1	9.608379364E0	-1.435693540E-2
1.785990454E0	1.092921734E0	9.741779327E0	2.416750938E-1
1.794393475E0	1.134796143E0	9.712467194E0	4.911268353E-1
1.802796496E0	1.015154958E0	9.577272415E0	5.437689424E-1
1.811199517E0	8.303094506E-1	9.504889488E0	4.211367965E-1
1.819602538E0	5.413761139E-1	9.571888924E0	3.535395563E-1
1.828005558E0	2.662015259E-1	9.659825325E0	4.785645287E-3
1.836408579E0	2.291127741E-1	9.763913155E0	-2.590230405E-1
1.844811600E0	5.054838061E-1	9.869794846E0	-2.685943544E-1
1.853214621E0	6.939185858E-1	9.891330719E0	1.004985496E-1
1.861617642E0	6.251249313E-1	9.891330719E0	5.431707501E-1
1.870020663E0	4.384847581E-1	9.996614456E0	5.539384484E-1
1.878423683E0	3.176472187E-1	1.026281643E1	2.506481707E-1
1.886826704E0	3.696911037E-1	1.037827015E1	1.836491376E-1
1.895229725E0	4.223332107E-1	1.026461124E1	1.710868180E-1
1.903632746E0	5.659025311E-1	1.002951622E1	8.434699476E-2
1.912035767E0	5.676971674E-1	9.996016502E0	1.274178028E-1
1.920438788E0	5.700899959E-1	9.993623734E0	1.339980662E-1
1.928841808E0	6.957131624E-1	1.000977516E1	7.896314561E-2
1.937244829E0	7.692924738E-1	1.001635551E1	-1.555334684E-2
1.945647850E0	7.686942816E-1	1.031246758E1	-1.232303679E-1
1.954050871E0	6.023930907E-1	1.061635590E1	-5.377869010E-1
1.962453892E0	2.410768867E-1	1.058764172E1	-9.559326172E-1
1.970856913E0	-2.105683982E-1	1.018624592E1	-9.631111026E-1
1.979259933E0	-4.959124923E-1	9.809974670E0	-6.029912829E-1
1.987662954E0	-4.959124923E-1	9.798010826E0	-1.507478207E-1
1.996065975E0	-3.266202807E-1	1.011446095E1	1.058823988E-1
2.004468996E0	-3.092723191E-1	1.034776115E1	3.260220885E-1
