"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
1.226824549E0	-3.298575282E-1	-6.390989423E-1	5.375455618E-1
1.235227570E0	-3.177932799E-1	-9.637642503E-1	8.867974877E-1
1.243630591E0	-2.284568697E-1	-6.777350307E-1	6.862868667E-1
1.252033611E0	-1.325538605E-1	3.556658030E-1	1.267508119E-1
1.260436632E0	-5.848862603E-2	1.372879267E0	-2.921377122E-1
1.268839653E0	-2.733541466E-2	1.663489819E0	-2.264716178E-1
1.277242674E0	-1.139230132E-1	1.056613088E0	2.761029601E-1
1.285645695E0	-2.417428046E-1	-2.076880634E-2	7.107207775E-1
1.294048716E0	-2.945810854E-1	-7.094991207E-1	7.172874212E-1
1.302451736E0	-2.816005945E-1	-7.823426127E-1	4.743228853E-1
1.310854757E0	-2.414373755E-1	-5.523586273E-1	2.530434728E-1
1.319257778E0	-2.206685692E-1	-3.098522723E-1	1.986780763E-1
1.327660799E0	-2.102841735E-1	-7.727217674E-2	2.353289127E-1
1.336063820E0	-1.905843467E-1	1.777565479E-1	2.330382317E-1
1.344466841E0	-1.748550236E-1	3.753656447E-1	1.580567211E-1
1.352869861E0	-1.713426560E-1	4.196520746E-1	9.804098308E-2
1.361272882E0	-1.786728203E-1	3.344388604E-1	1.062874198E-1
1.369675903E0	-2.006633282E-1	1.925695986E-1	1.872246861E-1
1.378078924E0	-2.009687424E-1	1.290414780E-1	2.580829561E-1
1.386481945E0	-1.889045089E-1	8.017370105E-2	2.728960216E-1
1.394884966E0	-1.846285909E-1	-7.421794534E-2	2.748812735E-1
1.403287986E0	-2.078407854E-1	-2.257080674E-1	2.932066917E-1
1.411691007E0	-2.087570578E-1	-1.846285909E-1	3.013004065E-1
1.420094028E0	-1.849340051E-1	-6.612421572E-2	3.031329513E-1
1.428497049E0	-1.737860441E-1	-4.581354442E-4	2.919849753E-1
1.436900070E0	-1.630962193E-1	6.047387794E-2	2.655658424E-1
1.445303091E0	-1.455343664E-1	1.168245375E-1	2.594573796E-1
1.453706111E0	-1.357607991E-1	1.273616552E-1	2.774773538E-1
1.462109132E0	-1.252236813E-1	9.269607067E-2	2.970244884E-1
1.470512153E0	-1.214058921E-1	2.779355086E-2	2.962609231E-1
1.478915174E0	-1.151447073E-1	-1.527118124E-2	2.838912606E-1
1.487318195E0	-1.052184403E-1	-1.801999472E-2	2.718270421E-1
1.495721216E0	-1.091889441E-1	-4.062134400E-2	2.747285664E-1
1.504124236E0	-1.171299592E-1	-6.917845458E-2	2.852656841E-1
1.512527257E0	-1.127013192E-1	-8.903098851E-2	2.712161839E-1
1.520930278E0	-1.049130186E-1	-1.279724985E-1	2.134911120E-1
1.529333299E0	-1.015533581E-1	-1.756185889E-1	1.696628332E-1
1.537736320E0	-9.498675168E-2	-1.930277348E-1	1.803526580E-1
1.546139341E0	-9.269607067E-2	-1.728697717E-1	2.211267054E-1
1.554542361E0	-7.757759839E-2	-1.125486046E-1	2.432699203E-1
1.562945382E0	-5.512896553E-2	-4.428642616E-2	2.279987335E-1
1.571348403E0	-3.451287001E-2	-1.924168877E-2	2.139492482E-1
1.579751424E0	-1.908897609E-2	-2.031067200E-2	2.185306102E-1
1.588154445E0	-6.872031838E-3	-9.162708884E-4	2.273878902E-1
1.596557466E0	6.413896102E-3	1.557660475E-2	2.249445021E-1
1.604960486E0	1.954711229E-2	2.107422985E-2	2.160872221E-1
1.613363507E0	3.222219273E-2	2.290677279E-2	2.037175596E-1
1.621766528E0	4.367557913E-2	1.496575773E-2	1.875301152E-1
1.630169549E0	5.131116882E-2	2.199050039E-2	1.676775664E-1
1.638572570E0	5.421269313E-2	4.840964451E-2	1.756185889E-1
1.646975591E0	6.505523622E-2	8.948912472E-2	2.052446753E-1
1.655378611E0	7.559234649E-2	9.513945878E-2	2.312056869E-1
1.663781632E0	8.307522535E-2	4.443913698E-2	2.451024652E-1
1.672184653E0	7.834116369E-2	-2.794626169E-2	2.609844804E-1
1.680587674E0	6.917845458E-2	-7.040014863E-2	2.907632887E-1
1.688990695E0	5.894676223E-2	-7.864658535E-2	3.210002482E-1
1.697393716E0	4.657710344E-2	-7.131642103E-2	3.478775024E-1
1.705796736E0	4.230117425E-2	-7.452336699E-2	3.678827584E-1
1.714199757E0	3.222219273E-2	-7.482878864E-2	4.056025743E-1
1.722602778E0	2.397575416E-2	-4.077405483E-2	4.793623984E-1
1.731005799E0	2.367033064E-2	4.275930673E-2	5.906893015E-1
1.739408820E0	5.299099907E-2	1.890572309E-1	7.195780873E-1
1.747811841E0	9.422318637E-2	2.797680497E-1	8.307522535E-1
1.756214861E0	1.017060652E-1	1.963873953E-1	8.857285380E-1
1.764617882E0	7.773031294E-2	2.443389036E-3	9.090934396E-1
1.773020903E0	4.337015375E-2	-1.291942000E-1	9.498674870E-1
1.781423924E0	1.481304597E-2	-2.063136548E-1	1.010952234E0
1.789826945E0	-6.566607859E-3	-2.782409191E-1	1.080130696E0
1.798229966E0	-2.550287358E-2	-2.848075330E-1	1.123958945E0
1.806632986E0	-2.229592577E-2	-2.012741715E-1	1.149003744E0
1.815036007E0	-3.665083554E-3	-9.086353332E-2	1.171146870E0
1.823439028E0	2.641914412E-2	-8.857285604E-3	1.183974743E0
1.831842049E0	6.032116711E-2	5.314370990E-2	1.161220670E0
1.840245070E0	8.215895295E-2	1.049130186E-1	1.118461370E0
1.848648091E0	8.475505561E-2	1.459924877E-1	1.079977989E0
1.857051111E0	9.177979827E-2	2.099787444E-1	1.050657272E0
1.865454132E0	9.834641218E-2	3.023693860E-1	9.987352490E-1
1.873857153E0	1.137702987E-1	3.849864900E-1	8.567132950E-1
1.882260174E0	1.719534993E-1	5.247178078E-1	5.195255876E-1
1.890663195E0	2.466295809E-1	7.953231335E-1	3.390202299E-2
1.899066216E0	2.707580328E-1	9.129112363E-1	-3.287885487E-1
1.907469236E0	2.525853515E-1	6.972821355E-1	-4.576773047E-1
1.915872257E0	2.593046725E-1	3.370349705E-1	-4.645493329E-1
1.924275278E0	2.644968629E-1	8.322793990E-2	-5.268557668E-1
1.932678299E0	2.580829561E-1	-2.412846684E-2	-6.710157394E-1
1.941081320E0	2.661767006E-1	-6.887302548E-2	-8.499939442E-1
