"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
2.335999476E0	-1.172826737E-1	4.963133857E-2	3.946073353E-1
2.344402497E0	-1.684411317E-1	4.153761268E-2	3.713951409E-1
2.352805518E0	-2.264716178E-1	-1.786728203E-2	3.571929336E-1
2.361208539E0	-2.506000996E-1	-4.840964451E-2	3.416163325E-1
2.369611560E0	-2.431172132E-1	9.162709117E-3	2.663294077E-1
2.378014581E0	-2.444916219E-1	9.651386738E-2	1.563768983E-1
2.386417601E0	-2.701472044E-1	1.863084137E-1	9.300149232E-2
2.394820622E0	-2.800734639E-1	2.440334857E-1	7.681404054E-2
2.403223643E0	-2.883199155E-1	2.454078794E-1	6.490252167E-2
2.411626664E0	-3.026748300E-1	1.876828223E-1	5.344913527E-2
2.420029685E0	-3.014531136E-1	1.096470803E-1	4.978405312E-2
2.428432706E0	-2.974826097E-1	2.855710872E-2	2.855710872E-2
2.436835726E0	-3.006895781E-1	-6.062658876E-2	-8.093725890E-3
2.445238747E0	-3.022166789E-1	-1.061347127E-1	-3.252761811E-2
2.453641768E0	-2.837385535E-1	-7.589777559E-2	-4.520269856E-2
2.462044789E0	-2.652604282E-1	-9.926267900E-3	-4.657710344E-2
2.470447810E0	-2.570139766E-1	5.528167635E-2	-4.428642616E-2
2.478850831E0	-2.475458533E-1	9.086353332E-2	-5.024218559E-2
2.487253851E0	-2.434226274E-1	1.200314835E-1	-6.123743951E-2
2.495656872E0	-2.412846684E-1	1.641651988E-1	-6.704048812E-2
2.504059893E0	-2.376195788E-1	2.070772201E-1	-6.688777357E-2
2.512462914E0	-2.324273884E-1	2.212794125E-1	-6.948387623E-2
2.520865935E0	-2.373141646E-1	2.345653474E-1	-7.085828483E-2
2.529268956E0	-2.463241518E-1	2.402156889E-1	-6.032116711E-2
2.537671976E0	-2.406738251E-1	2.516690791E-1	-4.443913698E-2
2.546074997E0	-2.365505993E-1	2.648022771E-1	-1.786728203E-2
2.554478018E0	-2.385358512E-1	2.831276953E-1	1.206423342E-2
2.562881039E0	-2.180724740E-1	2.968717813E-1	3.100049868E-2
2.571284060E0	-1.960819662E-1	2.817533016E-1	4.642439261E-2
2.579687081E0	-1.889045089E-1	2.732014358E-1	6.917845458E-2
2.588090101E0	-1.719534993E-1	2.855710983E-1	9.483403713E-2
2.596493122E0	-1.466033459E-1	2.727433145E-1	1.183516532E-1
2.604896143E0	-1.328592747E-1	2.452551723E-1	1.330119967E-1
2.613299164E0	-1.159082651E-1	2.292204350E-1	1.380514801E-1
2.621702185E0	-1.021642014E-1	1.892099380E-1	1.392731816E-1
2.630105206E0	-1.036913246E-1	1.163664013E-1	1.255291104E-1
2.638508226E0	-1.038440317E-1	4.398100078E-2	9.819369763E-2
2.646911247E0	-9.544488788E-2	-3.970507067E-3	7.207997888E-2
2.655314268E0	-8.780929446E-2	-2.916795574E-2	6.795676053E-2
2.663717289E0	-7.757759839E-2	-5.299099907E-2	7.070557028E-2
2.672120310E0	-6.872031838E-2	-7.650861889E-2	6.322269142E-2
2.680523331E0	-5.711421743E-2	-8.933641016E-2	4.749337584E-2
2.688926351E0	-4.856235534E-2	-9.437590092E-2	2.657185495E-2
2.697329372E0	-5.008947477E-2	-1.015533581E-1	1.832541777E-3
2.705732393E0	-5.864133686E-2	-1.049130186E-1	-2.580829710E-2
2.714135414E0	-6.261184067E-2	-8.536590636E-2	-4.902049154E-2
2.722538435E0	-5.971032009E-2	-4.077405483E-2	-5.757235363E-2
2.730941456E0	-5.879404768E-2	-4.275931045E-3	-6.551336497E-2
2.739344476E0	-5.696150661E-2	-4.123218823E-3	-7.223268598E-2
2.747747497E0	-5.238015205E-2	-2.199050039E-2	-8.170082420E-2
2.756150518E0	-5.070032179E-2	-3.390202299E-2	-7.696675509E-2
2.764553539E0	-4.886778072E-2	-5.039490014E-2	-5.864133686E-2
2.772956560E0	-4.459185153E-2	-6.872031838E-2	-3.787253052E-2
2.781359581E0	-4.520269856E-2	-1.117850468E-1	-2.367033064E-2
2.789762601E0	-4.703523964E-2	-1.627907902E-1	-1.068982668E-2
2.798165622E0	-3.787253052E-2	-1.973036677E-1	1.282779220E-2
2.806568643E0	-2.122694254E-2	-2.044811249E-1	3.512371704E-2
2.814971664E0	-3.817795310E-3	-2.137965411E-1	5.283828825E-2
2.823374685E0	-2.443389036E-3	-2.290677279E-1	7.269082218E-2
2.831777706E0	-1.221694518E-3	-2.350234836E-1	9.254335612E-2
2.840180726E0	7.177455351E-3	-2.223484069E-1	1.166718230E-1
2.848583747E0	1.710372418E-2	-1.901262105E-1	1.452289373E-1
2.856986768E0	3.237490356E-2	-1.496575773E-1	1.652341783E-1
2.865389789E0	5.512896553E-2	-1.127013192E-1	1.792836636E-1
2.873792810E0	6.734590977E-2	-1.185043678E-1	2.020377368E-1
2.882195831E0	7.360709459E-2	-1.346918195E-1	2.298312783E-1
2.890598851E0	7.986827940E-2	-1.491994411E-1	2.574721277E-1
2.899001872E0	8.338065445E-2	-1.980672181E-1	2.887780368E-1
2.907404893E0	8.842013776E-2	-2.374668717E-1	3.240544796E-1
2.915807914E0	9.697200358E-2	-2.496838123E-1	3.602471650E-1
2.924210935E0	1.070509851E-1	-2.478512824E-1	3.958290219E-1
2.932613956E0	1.240019947E-1	-2.553341687E-1	4.199574888E-1
2.941016976E0	1.444653720E-1	-2.501419485E-1	4.424061179E-1
2.949419997E0	1.579040140E-1	-2.399102598E-1	4.732539058E-1
2.957823018E0	1.724116355E-1	-2.438807636E-1	5.092939138E-1
2.966226039E0	1.840177327E-1	-2.586938143E-1	5.496098399E-1
2.974629060E0	1.983726472E-1	-2.924431264E-1	5.891621709E-1
2.983032081E0	2.232646793E-1	-3.248180151E-1	6.268820167E-1
2.991435101E0	2.667875290E-1	-3.109212518E-1	6.652126908E-1
2.999838122E0	3.197785318E-1	-2.922904193E-1	7.029324770E-1
3.008241143E0	3.591781855E-1	-3.286358118E-1	7.340856791E-1
3.016644164E0	3.755183518E-1	-4.170559645E-1	7.594358325E-1
3.025047185E0	3.553603888E-1	-5.404471159E-1	8.028060198E-1
3.033450206E0	3.338280320E-1	-6.629219651E-1	8.622109294E-1
3.041853226E0	3.295520842E-1	-7.481352091E-1	9.037485123E-1
3.050256247E0	2.932066917E-1	-8.640434742E-1	9.660549164E-1
3.058659268E0	2.412846684E-1	-9.784246087E-1	1.080588818E0
3.067062289E0	1.904316396E-1	-9.526162744E-1	1.136328578E0
3.075465310E0	1.730224788E-1	-8.231166601E-1	1.133121610E0
3.083868331E0	1.592784226E-1	-8.602256775E-1	1.242310643E0
3.092271351E0	1.180462316E-1	-9.054283500E-1	1.443126678E0
3.100674372E0	7.299624383E-2	-8.616000414E-1	1.651272893E0
3.109077393E0	7.498150319E-2	-7.175928354E-1	1.807038903E0
3.117480414E0	7.864658535E-2	-4.999784827E-1	1.924016118E0
3.125883435E0	5.650337040E-2	-2.692309320E-1	2.019613743E0
3.134286456E0	2.702999115E-2	-5.375456065E-2	2.094748020E0
3.142689476E0	-4.581354442E-4	1.513374150E-1	2.145142794E0
3.151092497E0	-1.572931744E-2	3.645231128E-1	2.108950138E0
3.159495518E0	-2.031067200E-2	5.063923597E-1	1.976243615E0
3.167898539E0	-3.084778599E-2	5.616740584E-1	1.800624967E0
3.176301560E0	-3.359659761E-2	5.456393361E-1	1.664864182E0
